Date,Value,Series,labels
1996-06-01T00:00:00,11.5,15 to 24 years,1996-06-01T00:00:00
1996-07-01T00:00:00,11.9,15 to 24 years,1996-07-01T00:00:00
1996-08-01T00:00:00,12.5,15 to 24 years,1996-08-01T00:00:00
1996-09-01T00:00:00,12,15 to 24 years,1996-09-01T00:00:00
1996-10-01T00:00:00,11.8,15 to 24 years,1996-10-01T00:00:00
1996-11-01T00:00:00,11.3,15 to 24 years,1996-11-01T00:00:00
1996-12-01T00:00:00,9.6,15 to 24 years,1996-12-01T00:00:00
1997-01-01T00:00:00,9.7,15 to 24 years,1997-01-01T00:00:00
1997-02-01T00:00:00,11,15 to 24 years,1997-02-01T00:00:00
1997-03-01T00:00:00,11.7,15 to 24 years,1997-03-01T00:00:00
1997-04-01T00:00:00,12.4,15 to 24 years,1997-04-01T00:00:00
1997-05-01T00:00:00,10.9,15 to 24 years,1997-05-01T00:00:00
1997-06-01T00:00:00,11.5,15 to 24 years,1997-06-01T00:00:00
1997-07-01T00:00:00,12.2,15 to 24 years,1997-07-01T00:00:00
1997-08-01T00:00:00,9.4,15 to 24 years,1997-08-01T00:00:00
1997-09-01T00:00:00,10.8,15 to 24 years,1997-09-01T00:00:00
1997-10-01T00:00:00,10.2,15 to 24 years,1997-10-01T00:00:00
1997-11-01T00:00:00,10.3,15 to 24 years,1997-11-01T00:00:00
1997-12-01T00:00:00,11.1,15 to 24 years,1997-12-01T00:00:00
1998-01-01T00:00:00,10.3,15 to 24 years,1998-01-01T00:00:00
1998-02-01T00:00:00,9.4,15 to 24 years,1998-02-01T00:00:00
1998-03-01T00:00:00,10.2,15 to 24 years,1998-03-01T00:00:00
1998-04-01T00:00:00,9.2,15 to 24 years,1998-04-01T00:00:00
1998-05-01T00:00:00,9.2,15 to 24 years,1998-05-01T00:00:00
1998-06-01T00:00:00,10.2,15 to 24 years,1998-06-01T00:00:00
1998-07-01T00:00:00,9.1,15 to 24 years,1998-07-01T00:00:00
1998-08-01T00:00:00,10.2,15 to 24 years,1998-08-01T00:00:00
1998-09-01T00:00:00,11.3,15 to 24 years,1998-09-01T00:00:00
1998-10-01T00:00:00,12.3,15 to 24 years,1998-10-01T00:00:00
1998-11-01T00:00:00,11,15 to 24 years,1998-11-01T00:00:00
1998-12-01T00:00:00,10.1,15 to 24 years,1998-12-01T00:00:00
1999-01-01T00:00:00,11.1,15 to 24 years,1999-01-01T00:00:00
1999-02-01T00:00:00,10.4,15 to 24 years,1999-02-01T00:00:00
1999-03-01T00:00:00,10.6,15 to 24 years,1999-03-01T00:00:00
1999-04-01T00:00:00,10.3,15 to 24 years,1999-04-01T00:00:00
1999-05-01T00:00:00,12.6,15 to 24 years,1999-05-01T00:00:00
1999-06-01T00:00:00,10.3,15 to 24 years,1999-06-01T00:00:00
1999-07-01T00:00:00,10.6,15 to 24 years,1999-07-01T00:00:00
1999-08-01T00:00:00,12.7,15 to 24 years,1999-08-01T00:00:00
1999-09-01T00:00:00,13.5,15 to 24 years,1999-09-01T00:00:00
1999-10-01T00:00:00,11.8,15 to 24 years,1999-10-01T00:00:00
1999-11-01T00:00:00,14,15 to 24 years,1999-11-01T00:00:00
1999-12-01T00:00:00,12.4,15 to 24 years,1999-12-01T00:00:00
2000-01-01T00:00:00,11,15 to 24 years,2000-01-01T00:00:00
2000-02-01T00:00:00,10.8,15 to 24 years,2000-02-01T00:00:00
2000-03-01T00:00:00,11.9,15 to 24 years,2000-03-01T00:00:00
2000-04-01T00:00:00,11.5,15 to 24 years,2000-04-01T00:00:00
2000-05-01T00:00:00,10.1,15 to 24 years,2000-05-01T00:00:00
2000-06-01T00:00:00,10.9,15 to 24 years,2000-06-01T00:00:00
2000-07-01T00:00:00,11.6,15 to 24 years,2000-07-01T00:00:00
2000-08-01T00:00:00,10.8,15 to 24 years,2000-08-01T00:00:00
2000-09-01T00:00:00,9.4,15 to 24 years,2000-09-01T00:00:00
2000-10-01T00:00:00,10.2,15 to 24 years,2000-10-01T00:00:00
2000-11-01T00:00:00,9.8,15 to 24 years,2000-11-01T00:00:00
2000-12-01T00:00:00,9,15 to 24 years,2000-12-01T00:00:00
2001-01-01T00:00:00,8.9,15 to 24 years,2001-01-01T00:00:00
2001-02-01T00:00:00,9.4,15 to 24 years,2001-02-01T00:00:00
2001-03-01T00:00:00,8.1,15 to 24 years,2001-03-01T00:00:00
2001-04-01T00:00:00,8.8,15 to 24 years,2001-04-01T00:00:00
2001-05-01T00:00:00,9.3,15 to 24 years,2001-05-01T00:00:00
2001-06-01T00:00:00,8.6,15 to 24 years,2001-06-01T00:00:00
2001-07-01T00:00:00,9.8,15 to 24 years,2001-07-01T00:00:00
